country,year,gdp_growth,gdp_per_capita,inflation
Azerbaijan,2003,10.2,879.863,2.1
Azerbaijan,2004,9.3,1039.818,6.7
Azerbaijan,2005,26.4,1567.194,9.6
Azerbaijan,2006,34.5,2453.261,8.3
Azerbaijan,2007,25.0,3813.751,16.7
Azerbaijan,2008,10.8,5564.444,20.8
Azerbaijan,2009,9.3,4964.696,1.5
Azerbaijan,2010,5.0,5880.509,5.7
Azerbaijan,2011,0.1,7238.602,7.9
Azerbaijan,2012,2.2,7545.553,1.1
Azerbaijan,2013,5.8,7926.6,2.4
Azerbaijan,2014,2.8,7938.578,1.4
Azerbaijan,2015,1.1,5524.527,4.0
Azerbaijan,2016,-3.1,3897.788,12.4
Azerbaijan,2017,0.2,4217.653,12.9
Azerbaijan,2018,1.5,4759.796,2.3
Azerbaijan,2019,2.5,4841.145,2.6
Azerbaijan,2020,-4.2,4280.429,2.8
Azerbaijan,2021,5.6,5468.269,6.7
Azerbaijan,2022,4.7,7831.176,13.9
Azerbaijan,2023,1.4,7151.946,8.8
Azerbaijan,2024,4.1,7251.303,2.2
Azerbaijan,2025,3.0,7365.278,5.7
Bulgaria,2003,5.2,2710.577,2.3
Bulgaria,2004,6.5,3370.382,6.1
Bulgaria,2005,7.1,3869.588,6.0
Bulgaria,2006,6.8,4477.028,7.4
Bulgaria,2007,6.7,5815.474,7.6
Bulgaria,2008,6.1,7161.75,12.0
Bulgaria,2009,-3.3,6878.061,2.5
Bulgaria,2010,1.6,6754.23,3.0
Bulgaria,2011,2.1,7872.225,3.4
Bulgaria,2012,0.7,7453.726,2.4
Bulgaria,2013,-0.5,7703.869,0.4
Bulgaria,2014,0.9,7925.445,-1.6
Bulgaria,2015,3.4,7096.339,-1.1
Bulgaria,2016,3.0,7593.706,-1.3
Bulgaria,2017,2.7,8409.665,1.2
Bulgaria,2018,2.5,9473.889,2.6
Bulgaria,2019,3.8,9874.073,2.5
Bulgaria,2020,-3.2,10215.862,1.2
Bulgaria,2021,7.8,12352.357,2.8
