year,tur_gdp_growth,tur_gdp_per_capita,tur_inflation,tur_ppp_exchange_rate
2003,5.8,4750.989,25.3,0.591
2004,9.9,6040.164,8.6,0.646
2005,9.1,7405.476,8.2,0.671
2006,7.1,8007.819,9.6,0.712
2007,5.1,9790.887,8.8,0.736
2008,0.9,11089.025,10.4,0.809
2009,-4.9,9108.034,6.3,0.849
2010,8.5,10705.548,8.6,0.897
2011,11.0,11361.902,6.5,0.952
2012,4.8,11738.279,8.9,1.002
2013,8.5,12639.299,7.5,1.047
2014,4.6,12222.238,8.9,1.107
2015,5.8,11099.8,7.7,1.183
2016,3.3,10978.312,7.8,1.268
2017,7.8,10756.742,11.1,1.384
2018,3.5,9917.054,16.3,1.633
2019,1.3,9387.652,15.2,1.837
2020,1.8,8758.704,12.3,2.111
2021,11.8,9836.039,19.6,2.726
2022,5.4,10881.992,72.3,4.975
2023,5.0,13516.335,53.9,8.074
2024,3.3,15882.446,58.5,12.548
2025,3.5,18197.575,34.9,16.507
