country,year,visitors,gdp_growth,gdp_per_capita,inflation,political_stability,tur_gdp_growth,tur_gdp_per_capita,tur_inflation,tur_ppp_rate,tur_political_stability,covid,coup_2016,syria_conflict,russia_turkey_crisis,russia_ukraine_war,mena_tension_recent,visitors_yoy,baseline_visitors,visitors_vs_baseline,log_visitors,tur_currency_weakness,market_group
Azerbaijan,2003,190713.0,10.2,879.863,2.1,-0.988709,5.8,4750.989,25.3,0.591,-0.624468,0,0,0,0,0,0,,833310.6666666666,-77.11381749583587,12.158524959165415,,Former Soviet
Azerbaijan,2004,326937.0,9.3,1039.818,6.7,-1.12484,9.9,6040.164,8.6,0.646,-0.677982,0,0,0,0,0,0,71.42879614918752,833310.6666666666,-60.76649284860548,12.697522770767504,9.306260575296111,Former Soviet
Azerbaijan,2005,400703.0,26.4,1567.194,9.6,-1.149689,9.1,7405.476,8.1,0.671,-0.373772,0,0,0,0,0,0,22.562756739065936,833310.6666666666,-51.91433206983229,12.900975783494138,3.8699690402476783,Former Soviet
Azerbaijan,2006,382717.0,34.5,2453.261,8.3,-0.986625,7.1,8007.819,9.6,0.712,-0.338799,0,0,0,0,0,0,-4.488611265700526,833310.6666666666,-54.07271077773315,12.855051091644864,6.11028315946347,Former Soviet
Azerbaijan,2007,425026.0,25.0,3813.751,16.7,-0.586899,5.1,9790.887,8.8,0.736,-0.58333,0,0,0,0,0,0,11.054904799107423,833310.6666666666,-48.99549267740082,12.959905622505937,3.370786516853941,Former Soviet
Azerbaijan,2008,467547.0,10.8,5564.444,20.8,-0.280887,0.9,11089.025,10.4,0.809,-0.604511,0,0,0,0,0,0,10.004329146922775,833310.6666666666,-43.89283388508167,13.055255157416957,9.918478260869579,Former Soviet
Azerbaijan,2009,430241.0,9.3,4964.696,1.5,-0.351531,-4.9,9108.034,6.2,0.849,-0.552293,0,0,0,0,0,0,-7.9790908721476095,833310.6666666666,-48.36967565517782,12.972100795784112,4.944375772558707,Former Soviet
Azerbaijan,2010,477441.0,5.0,5880.509,5.7,-0.314501,8.5,10705.548,8.6,0.897,-0.548691,0,0,0,0,0,0,10.970595549935958,833310.6666666666,-42.705521590187246,13.076195871059307,5.653710247349819,Former Soviet
Azerbaijan,2011,565484.0,0.1,7238.602,7.9,-0.65709,11.0,11361.902,6.5,0.952,-0.696616,0,0,1,0,0,0,18.440603132114752,833310.6666666666,-32.14007421001851,13.245437280592508,6.131549609810483,Former Soviet
Azerbaijan,2012,585513.0,2.2,7545.553,1.1,-0.683857,4.8,11738.279,8.9,1.002,-0.919687,0,0,1,0,0,0,3.541921610514187,833310.6666666666,-29.736528833584273,13.28024366501851,5.252100840336138,Former Soviet
Azerbaijan,2013,624536.0,5.8,7926.6,2.4,-0.483764,8.5,12639.299,7.5,1.047,-1.032178,0,0,1,0,0,0,6.664753814176638,833310.6666666666,-25.053641459047682,13.34476425300319,4.491017964071853,Former Soviet
Azerbaijan,2014,651007.0,2.8,7938.578,1.4,-0.433564,4.6,12222.238,8.9,1.107,-0.799807,0,0,1,0,0,0,4.2385066673498395,833310.6666666666,-21.8770350553535,13.386275673821068,5.730659025787976,Former Soviet
Azerbaijan,2015,596278.0,1.1,5524.527,4.0,-0.494181,5.8,11099.8,7.7,1.183,-1.109349,0,0,1,1,0,0,-8.406822046460327,833310.6666666666,-28.444693695668523,13.298462280249808,6.865401987353215,Former Soviet
Azerbaijan,2016,585644.0,-3.1,3897.788,12.4,-0.504347,3.3,10978.312,7.8,1.268,-1.78017,0,1,0,0,0,0,-1.7833963352664406,833310.6666666666,-29.72080840598864,13.280467375418647,7.185122569737956,Former Soviet
Azerbaijan,2017,744560.0,0.2,4217.653,12.9,-0.455635,7.8,10756.742,11.2,1.384,-1.706232,0,0,0,0,0,0,27.135256230747686,833310.6666666666,-10.65036969005556,13.520548718859592,9.148264984227117,Former Soviet
Azerbaijan,2018,853830.0,1.5,4759.796,2.3,-0.356744,3.5,9917.054,16.3,1.633,-1.124112,0,0,0,0,0,0,14.675781669710975,833310.6666666666,2.462386976925779,13.657487389723142,17.9913294797688,Former Soviet
