country,year,political_stability
Germany,2003,0.728501
Germany,2004,0.705215
Germany,2005,0.993342
Germany,2006,1.036469
Germany,2007,1.060542
Germany,2008,1.008294
Germany,2009,1.030191
Germany,2010,0.930089
Germany,2011,0.895856
Germany,2012,0.966803
Germany,2013,0.956709
Germany,2014,1.067265
Germany,2015,0.831144
Germany,2016,0.794534
Germany,2017,0.702224
Germany,2018,0.823901
Germany,2019,0.727172
Germany,2020,0.684053
Germany,2021,0.660305
Germany,2022,0.52848
Germany,2023,0.50602
Germany,2024,0.124267
United Kingdom,2003,0.419609
United Kingdom,2004,0.348434
United Kingdom,2005,0.39586
United Kingdom,2006,0.66006
United Kingdom,2007,0.695893
United Kingdom,2008,0.64648
United Kingdom,2009,0.492837
United Kingdom,2010,0.593749
United Kingdom,2011,0.431799
United Kingdom,2012,0.468414
United Kingdom,2013,0.459995
United Kingdom,2014,0.543624
United Kingdom,2015,0.537112
United Kingdom,2016,0.449858
United Kingdom,2017,0.440662
United Kingdom,2018,0.282593
United Kingdom,2019,0.56815
United Kingdom,2020,0.510221
United Kingdom,2021,0.436366
United Kingdom,2022,0.367691
United Kingdom,2023,0.368343
United Kingdom,2024,0.257709
France,2003,0.343467
France,2004,0.390091
France,2005,0.462245
France,2006,0.597182
France,2007,0.651256
France,2008,0.638837
France,2009,0.508425
France,2010,0.740135
France,2011,0.588087
France,2012,0.615243
France,2013,0.491642
France,2014,0.387786
France,2015,0.173566
France,2016,-0.041533
France,2017,0.229972
France,2018,0.104352
France,2019,0.204067
France,2020,0.127089
France,2021,0.124153
France,2022,0.019838
France,2023,-0.018772
France,2024,-0.241365
Netherlands,2003,1.139888
Netherlands,2004,0.864576
Netherlands,2005,1.009312
Netherlands,2006,0.963403
Netherlands,2007,0.930446
Netherlands,2008,0.977596
Netherlands,2009,1.055733
Netherlands,2010,0.992427
Netherlands,2011,1.082706
Netherlands,2012,1.127533
Netherlands,2013,1.056934
Netherlands,2014,1.069195
Netherlands,2015,0.911876
Netherlands,2016,0.880799
Netherlands,2017,0.782024
Netherlands,2018,0.793099
Netherlands,2019,0.698545
Netherlands,2020,0.709289
Netherlands,2021,0.732977
Netherlands,2022,0.62523
Netherlands,2023,0.60844
Netherlands,2024,0.42812
Russia,2003,-1.015568
Russia,2004,-1.209335
Russia,2005,-1.099717
Russia,2006,-0.696364
Russia,2007,-0.621804
Russia,2008,-0.462068
Russia,2009,-0.694921
Russia,2010,-0.712889
Russia,2011,-0.940576
Russia,2012,-0.901598
Russia,2013,-0.827958
Russia,2014,-0.69966
Russia,2015,-0.790589
Russia,2016,-0.768461
Russia,2017,-0.53862
Russia,2018,-0.368104
Russia,2019,-0.398649
Russia,2020,-0.506898
Russia,2021,-0.50619
Russia,2022,-0.74094
Russia,2023,-0.818416
Russia,2024,-0.903285
Iran,2003,-0.613916
Iran,2004,-0.662544
Iran,2005,-0.642542
Iran,2006,-0.787821
Iran,2007,-0.71489
Iran,2008,-0.748024
Iran,2009,-1.271007
Iran,2010,-1.524788
Iran,2011,-1.356451
Iran,2012,-1.263007
Iran,2013,-1.18087
Iran,2014,-0.726596
Iran,2015,-0.789696
Iran,2016,-0.644883
Iran,2017,-0.699443
Iran,2018,-0.968601
Iran,2019,-1.255613
Iran,2020,-1.221325
Iran,2021,-1.157777
Iran,2022,-1.14484
Iran,2023,-1.269411
Iran,2024,-1.581188
Azerbaijan,2003,-0.988709
Azerbaijan,2004,-1.12484
Azerbaijan,2005,-1.149689
Azerbaijan,2006,-0.986625
Azerbaijan,2007,-0.586899
Azerbaijan,2008,-0.280887
Azerbaijan,2009,-0.351531
Azerbaijan,2010,-0.314501
Azerbaijan,2011,-0.65709
Azerbaijan,2012,-0.683857
Azerbaijan,2013,-0.483764
Azerbaijan,2014,-0.433564
Azerbaijan,2015,-0.494181
Azerbaijan,2016,-0.504347
Azerbaijan,2017,-0.455635
Azerbaijan,2018,-0.356744
Azerbaijan,2019,-0.337312
Azerbaijan,2020,-0.508772
Azerbaijan,2021,-0.488829
Azerbaijan,2022,-0.542048
Azerbaijan,2023,-0.400414
Azerbaijan,2024,-0.140406
Georgia,2003,-1.612001
Georgia,2004,-0.907028
Georgia,2005,-0.777785
Georgia,2006,-0.812438
Georgia,2007,-0.493822
Georgia,2008,-0.816645
Georgia,2009,-0.743173
Georgia,2010,-0.560988
Georgia,2011,-0.622573
Georgia,2012,-0.500627
Georgia,2013,-0.225994
Georgia,2014,-0.024803
Georgia,2015,-0.090598
Georgia,2016,-0.061468
Georgia,2017,-0.112559
Georgia,2018,-0.094857
Georgia,2019,-0.134771
Georgia,2020,-0.127194
Georgia,2021,-0.201768
Georgia,2022,-0.100035
Georgia,2023,-0.120909
Georgia,2024,-0.612759
Bulgaria,2003,0.19524
Bulgaria,2004,0.052069
Bulgaria,2005,0.305388
Bulgaria,2006,0.320646
Bulgaria,2007,0.357501
Bulgaria,2008,0.406927
Bulgaria,2009,0.383244
Bulgaria,2010,0.373648
Bulgaria,2011,0.308557
Bulgaria,2012,0.391129
Bulgaria,2013,0.170469
Bulgaria,2014,0.242071
Bulgaria,2015,0.182391
Bulgaria,2016,0.207304
Bulgaria,2017,0.406139
Bulgaria,2018,0.592909
Bulgaria,2019,0.578817
Bulgaria,2020,0.421047
Bulgaria,2021,0.406398
Bulgaria,2022,0.326973
